YEAR,MONTH,COUNTRY,MODEL,SEGMENT,ENGINE TYPE ,PRICE IN USD,UNIT SOLD
2015,1,France,3 Series,SUV,Hybrid," $55,827 ",706
2015,1,USA,7 Series,Electric,Hybrid," $60,186 ",922
2015,1,China,i4,SUV,Hybrid," $1,18,384 ",368
2015,1,Germany,i7,SUV,Diesel," $44,943 ",647
2015,1,China,iX,Sedan,Petrol," $63,633 ",941
2015,1,China,X1,Sedan,Hybrid," $1,04,876 ",675
2015,1,India,X1,Sedan,Hybrid," $41,221 ",492
2015,1,Canada,X5,Sedan,Hybrid," $67,167 ",380
2015,1,China,X5,SUV,Petrol," $83,517 ",662
2015,1,UK,X7,SUV,Diesel," $76,850 ",211
2015,2,Brazil,3 Series,Sedan,Hybrid," $50,630 ",780
2015,2,France,3 Series,SUV,Diesel," $1,02,695 ",538
2015,2,China,5 Series,Electric,Hybrid," $1,16,788 ",575
2015,2,Brazil,7 Series,Electric,Diesel," $79,462 ",298
2015,2,India,7 Series,Sedan,Electric," $37,841 ",517
2015,2,UK,7 Series,Sedan,Electric," $1,14,401 ",268
2015,2,India,i4,Sedan,Electric," $91,356 ",306
2015,2,Australia,X1,Electric,Hybrid," $48,016 ",1156
2015,2,India,X1,Sedan,Hybrid," $35,495 ",973
2015,2,India,X3,Sedan,Petrol," $1,13,291 ",1027
2015,2,India,X7,Electric,Diesel," $75,696 ",388
2015,2,USA,X7,SUV,Electric," $1,02,443 ",533
2015,3,Canada,3 Series,SUV,Petrol," $1,08,324 ",1242
2015,3,Canada,7 Series,Electric,Diesel," $85,494 ",100
2015,3,India,7 Series,Sedan,Diesel," $40,037 ",762
2015,3,France,i4,Sedan,Petrol," $1,04,453 ",265
2015,3,China,X1,Sedan,Electric," $77,598 ",863
2015,3,Australia,X3,Sedan,Diesel," $96,078 ",637
2015,3,France,X3,Electric,Diesel," $53,610 ",675
2015,4,France,X3,SUV,Electric," $84,556 ",815
2015,4,UK,X3,SUV,Electric," $53,157 ",667
2015,4,France,X5,Sedan,Petrol," $55,213 ",717
2015,4,UK,X7,Sedan,Electric," $1,06,916 ",408
2015,4,USA,X7,SUV,Diesel," $48,029 ",622
